m_uid,k_number,party
1893392,1,Mapai
470672,1,Mapai
145162,1,Mapai
128894,1,Mapai
718000,1,Mapai
2902983,1,Mapai
2855738,1,Mapai
2060660,1,Mapai
37610,1,Mapai
2004552,1,Mapai
816401,1,Mapai
2901683,1,Mapai
2902404,1,Mapai
2357528,1,Mapai
2903289,1,Mapai
2753565,1,Mapai
2906720,1,Mapai
2072615,1,Mapai
2920143,1,Mapai
2909120,1,Mapai
2903189,1,Mapai
2910619,1,Mapai
2917557,1,Mapai
2909716,1,Mapai
1329314,1,Mapai
2901728,1,Mapai
2901199,1,Mapai
2777161,1,Mapai
662218,1,Mapai
2904321,1,Mapai
2653058,1,Mapai
42992,1,Mapai
72124,1,Mapai
2776248,1,Mapai
1176303,1,Mapai
208477,1,Mapai
299100,1,Mapai
2687114,1,Mapai
2687111,1,Mapai
974766,1,Mapai
528647,1,Mapai
2908317,1,Mapai
2752981,1,Mapai
2902944,1,Mapai
2901704,1,Mapai
936528,1,Mapai
551400,1,Mapam
2909098,1,Mapam
551390,1,Mapam
2079765,1,Mapam
2226775,1,Mapam
2091327,1,Mapam
2910166,1,Mapam
1386714,1,Mapam
2906119,1,Mapam
2905464,1,Mapam
519963,1,Mapam
2900203,1,Mapam
2778041,1,Mapam
2900981,1,Mapam
2901411,1,Mapam
1338975,1,Mapam
155242,1,Mapam
2910082,1,Mapam
2588843,1,Mapam
216021,1,United Religious Front
2900595,1,United Religious Front
2900614,1,United Religious Front
2900920,1,United Religious Front
2902077,1,United Religious Front
2778053,1,United Religious Front
2908216,1,United Religious Front
2907909,1,United Religious Front
2382713,1,United Religious Front
2904692,1,United Religious Front
1365144,1,United Religious Front
2587814,1,United Religious Front
2901431,1,United Religious Front
2079775,1,United Religious Front
2909985,1,United Religious Front
2890045,1,United Religious Front
130873,1,Herut
551421,1,Herut
2332324,1,Herut
2335185,1,Herut
162793,1,Herut
2061371,1,Herut
1385128,1,Herut
438286,1,Herut
2613376,1,Herut
2906131,1,Herut
2613811,1,Herut
